t (s),V (mV)
0,16.5052
1.049,16.4263
2.1,16.3518
3.15,16.2706
4.162,16.1965
5.163,16.1204
6.163,16.0458
7.163,15.9703
8.162,15.8954
9.162,15.8211
10.163,15.7462
11.163,15.673
12.162,15.5987
13.162,15.5251
14.162,15.4529
15.163,15.3796
16.163,15.3076
17.163,15.2354
18.162,15.1644
19.162,15.0929
20.162,15.021
21.163,14.9499
22.162,14.8793
23.162,14.8089
24.162,14.7395
25.163,14.6691
26.162,14.6001
27.162,14.5319
28.162,14.4622
29.162,14.3952
30.163,14.3276
31.162,14.2609
32.163,14.1936
33.162,14.127
34.163,14.0601
35.162,13.9935
36.162,13.9275
37.168,13.8627
38.163,13.796
39.162,13.7312
40.162,13.6663
41.163,13.6025
42.162,13.5376
43.167,13.4746
44.162,13.4106
45.162,13.3473
46.163,13.2844
47.162,13.2216
48.163,13.1595
49.167,13.0984
50.162,13.0345
51.163,12.9728
52.162,12.9119
53.162,12.8506
54.163,12.7901
55.163,12.729
56.163,12.669
57.162,12.6089
58.163,12.5494
59.162,12.4897
60.162,12.4302
61.163,12.3722
62.162,12.3131
63.163,12.2545
64.162,12.1961
65.162,12.1374
66.163,12.0801
67.163,12.0217
68.162,11.9647
69.162,11.9073
70.163,11.8514
71.162,11.7948
72.163,11.738
73.162,11.6817
74.162,11.6256
75.163,11.5706
76.163,11.5152
77.163,11.4597
78.163,11.4053
79.163,11.352
80.162,11.2971
81.163,11.2438
82.162,11.1898
83.163,11.1365
84.162,11.083
85.168,11.0316
86.162,10.9765
87.163,10.9245
88.162,10.871
89.163,10.8195
90.162,10.7671
91.162,10.7153
92.163,10.6642
93.162,10.6126
94.162,10.5615
95.161,10.5109
96.161,10.4614
97.166,10.4102
98.161,10.3613
99.161,10.3115
100.161,10.2624
101.162,10.2131
102.161,10.1644
103.161,10.1158
104.161,10.0686
105.161,10.0198
106.162,9.9717
107.163,9.9245
108.162,9.8768
109.162,9.8278
110.163,9.7815
111.162,9.7351
112.162,9.6874
113.163,9.6398
114.162,9.5943
115.168,9.5445
116.162,9.5012
117.163,9.455
118.162,9.4091
119.163,9.3624
120.162,9.3168
121.163,9.2706
122.162,9.2259
123.162,9.1797
124.162,9.1357
125.162,9.0907
126.163,9.0463
127.163,9.002
128.162,8.9585
129.162,8.9159
130.163,8.8726
131.162,8.8294
132.162,8.7867
133.163,8.7445
134.162,8.7007
135.163,8.6585
136.162,8.6168
137.163,8.5753
138.162,8.5326
139.162,8.4913
140.163,8.4485
141.162,8.4084
142.162,8.3669
143.163,8.3259
144.162,8.2863
145.163,8.2456
146.163,8.2054
147.162,8.166
148.163,8.1255
149.162,8.0857
150.162,8.0468
151.162,8.0069
152.163,7.9682
153.164,7.9291
154.163,7.8904
155.162,7.8509
156.162,7.8132
157.163,7.7754
158.162,7.7366
159.163,7.6988
160.162,7.6602
161.162,7.6224
162.163,7.5854
163.162,7.5475
